,timestamp,time,build-number,build-tag,log-level,sbf-remote-com-port,vsp-remote-com-port,corrections-remote-com-port,nmea-remote-com-port,sbf-local-com-port,vsp-local-com-port,corrections-local-com-port,vsp-local-tcp-port,corrections-local-udp-port,vsp-enabled,corrections-enabled,sbf-enabled,log-messages,correction-feed-type,multicast-receive-enabled,multicast-receive-port,multicast-receive-addr,multicast-receive-interface,messages-received,raw-logged-bytes,received-telnet-bytes,sent-corr-bytes,sent-corr-packets,sent-telnet-bytes,time-since-gga,time-since-sent,UTC,diff-age,lat,lon,quality,sats,stnRef,hdop,lat-dev,lon-dev,sogk,sogm,cogt
0,1674204924.0439315,2023 01 20 08:55:24.043,1093.0,jenkins-Pythoncrew-1093_release-crew-2020-5_2020-12-14_Ubuntu_18.04_c46076ed4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1674204926.4447117,2023 01 20 08:55:26.444,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1674204926.539806,2023 01 20 08:55:26.539,,,,COM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1674204926.5401907,2023 01 20 08:55:26.540,,,,,COM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1674204926.5404463,2023 01 20 08:55:26.540,,,,,,COM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1674204926.5408108,2023 01 20 08:55:26.540,,,,,,,COM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1674204926.5410671,2023 01 20 08:55:26.541,,,,,,,,/dev/ttyS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1674204926.541318,2023 01 20 08:55:26.541,,,,,,,,,/dev/ttyS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1674204926.5415635,2023 01 20 08:55:26.541,,,,,,,,,,/dev/ttyS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1674204926.5418525,2023 01 20 08:55:26.541,,,,,,,,,,,28784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1674204926.5421295,2023 01 20 08:55:26.542,,,,,,,,,,,,7168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1674204926.5423987,2023 01 20 08:55:26.542,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1674204926.589778,2023 01 20 08:55:26.589,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1674204926.5901651,2023 01 20 08:55:26.590,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1674204926.590448,2023 01 20 08:55:26.590,,,,,,,,,,,,,,,,RawData,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1674204926.5906982,2023 01 20 08:55:26.590,,,,,,,,,,,,,,,,,RTCMv2,,,,,,,,,,,,,,,,,,,,,,,,,
16,1674204926.6069863,2023 01 20 08:55:26.606,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
17,1674204926.6074865,2023 01 20 08:55:26.607,,,,,,,,,,,,,,,,,,,8000.0,,,,,,,,,,,,,,,,,,,,,,,
18,1674204926.6077619,2023 01 20 08:55:26.607,,,,,,,,,,,,,,,,,,,,224.1.2.3,,,,,,,,,,,,,,,,,,,,,,
19,1674204926.6080177,2023 01 20 08:55:26.608,,,,,,,,,,,,,,,,,,,,,127.0.0.1,,,,,,,,,,,,,,,,,,,,,
20,1674204926.7756443,2023 01 20 08:55:26.775,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1674204926.7755451,1674204926.7755027,,,,,,,,,,,,,
21,1674204927.839222,2023 01 20 08:55:27.839,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1674204927.8391275,1674204927.839101,,,,,,,,,,,,,
22,1674204928.8416843,2023 01 20 08:55:28.841,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1674204928.8415806,1674204928.841552,,,,,,,,,,,,,
23,1674204929.8431287,2023 01 20 08:55:29.843,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1674204929.843026,1674204929.842998,,,,,,,,,,,,,
